FPR,TPR,Threshold
0.0,0.0,inf
0.0,0.01,0.961
0.04081632653061224,0.01,0.952
0.04081632653061224,0.03,0.941
0.04081632653061224,0.05,0.94
0.04081632653061224,0.06,0.936
0.061224489795918366,0.06,0.921
0.061224489795918366,0.07,0.919
0.08163265306122448,0.07,0.917
0.08163265306122448,0.12,0.877
0.08163265306122448,0.14,0.874
0.08163265306122448,0.15,0.864
0.10204081632653061,0.15,0.862
0.10204081632653061,0.16,0.859
0.12244897959183673,0.16,0.847
0.12244897959183673,0.2,0.817
0.14285714285714285,0.2,0.815
0.14285714285714285,0.3,0.764
0.14285714285714285,0.34,0.758
0.14285714285714285,0.35,0.751
0.16326530612244897,0.35,0.75
0.16326530612244897,0.38,0.746
0.16326530612244897,0.4,0.745
0.16326530612244897,0.42,0.742
0.16326530612244897,0.44,0.737
0.16326530612244897,0.45,0.736
0.1836734693877551,0.46,0.735
0.1836734693877551,0.48,0.725
0.20408163265306123,0.48,0.724
0.20408163265306123,0.49,0.723
0.20408163265306123,0.51,0.72
0.20408163265306123,0.53,0.715
0.22448979591836735,0.53,0.713
0.22448979591836735,0.56,0.703
0.22448979591836735,0.6,0.701
0.22448979591836735,0.61,0.698
0.24489795918367346,0.61,0.697
0.24489795918367346,0.64,0.689
0.2857142857142857,0.66,0.685
0.2857142857142857,0.67,0.683
0.30612244897959184,0.67,0.679
0.30612244897959184,0.69,0.677
0.32653061224489793,0.69,0.672
0.32653061224489793,0.7,0.671
0.3673469387755102,0.7,0.664
0.3673469387755102,0.71,0.661
0.3877551020408163,0.71,0.658
0.3877551020408163,0.73,0.653
0.40816326530612246,0.73,0.649
0.40816326530612246,0.74,0.648
0.4489795918367347,0.74,0.647
0.4489795918367347,0.75,0.639
0.46938775510204084,0.75,0.637
0.4897959183673469,0.76,0.636
0.5102040816326531,0.76,0.635
0.5102040816326531,0.78,0.626
0.5510204081632653,0.78,0.622
0.5510204081632653,0.79,0.621
0.5714285714285714,0.8,0.619
0.5714285714285714,0.81,0.616
0.6530612244897959,0.81,0.609
0.6530612244897959,0.82,0.608
0.6530612244897959,0.84,0.606
0.6530612244897959,0.86,0.597
0.673469387755102,0.87,0.592
0.6938775510204082,0.87,0.59
0.7142857142857143,0.88,0.584
0.7142857142857143,0.9,0.582
0.7346938775510204,0.9,0.564
0.7551020408163265,0.91,0.559
0.8163265306122449,0.91,0.546
0.8775510204081632,0.91,0.545
0.8979591836734694,0.91,0.538
0.9183673469387755,0.93,0.534
0.9387755102040817,0.93,0.532
0.9387755102040817,0.96,0.518
0.9591836734693877,0.97,0.517
0.9591836734693877,0.98,0.513
0.9795918367346939,0.99,0.511
0.9795918367346939,1.0,0.509
1.0,1.0,0.5
